zip_code,city,street,house_no,location_type,location_name,id,closure_periods,opening_hours,latitude,longitude
12435,Berlin,Karl-Kunger-Str.,56,RETAIL_OUTLET,Lotto Tabak Post,4288412,[],Mo: 06:00-21:00; Tu: 06:00-21:00; We: 06:00-21:00; Th: 06:00-21:00; Fr: 06:00-21:00; Sa: 07:00-21:00,52.4908927,13.4481344
10369,Berlin,Franz-Jacob-Str.,2c,RETAIL_OUTLET,K kiosk,4320843,[],Mo: 09:00-18:00; Tu: 09:00-18:00; We: 09:00-18:00; Th: 09:00-18:00; Fr: 09:00-18:00; Sa: 09:00-13:00,52.5251582,13.4660296
10965,Berlin,Dudenstr.,76,RETAIL_OUTLET,Berlin 420,4337364,[],Mo: 10:00-18:00; Tu: 10:00-18:00; We: 10:00-18:00; Th: 10:00-18:00; Fr: 10:00-18:00; Sa: 09:30-14:30,52.4851853,13.3744921
10787,Berlin,Kurfürstenstr.,114,RETAIL_OUTLET,Tabak-Zeitschriften-Lotto,4322596,[],Mo: 06:00-18:00; Tu: 06:00-18:00; We: 06:00-18:00; Th: 06:00-18:00; Fr: 06:00-18:00; Sa: 07:00-13:00,52.5035436,13.3471349
10245,Berlin,Sonntagstr.,27,RETAIL_OUTLET,Käpt'n Kiez,4325967,[],Mo: 09:00-17:00; Tu: 09:00-17:00; We: 09:00-17:00; Th: 09:00-17:00; Fr: 09:00-17:00; Sa: 09:00-17:00,52.5061276,13.4655183
10247,Berlin,Frankfurter Allee,71-77,POSTBANK_FINANCE_CENTER,Postbank Filiale,19330,[],Mo: 09:00-18:30; Tu: 09:00-18:30; We: 09:00-18:30; Th: 09:00-18:30; Fr: 09:00-18:30; Sa: 09:30-13:00,52.5145466,13.4687215
13353,Berlin,Müllerstr.,156b,POSTBANK_FINANCE_CENTER,Postbank Filiale,4068447,[],Mo: 09:00-18:30; Tu: 09:00-18:30; We: 09:00-18:30; Th: 09:00-18:30; Fr: 09:00-18:30; Sa: 09:00-14:00,52.5452536,13.3606625
13086,Berlin,Streustr.,67,RETAIL_OUTLET,Kiez-Markt,4326868,[],Mo: 07:00-19:00; Tu: 07:00-19:00; We: 07:00-19:00; Th: 07:00-19:00; Fr: 07:00-19:00; Sa: 07:00-18:00,52.5527273,13.4332032
10551,Berlin,Stromstr.,11-17,RETAIL_OUTLET,GECO,4128764,[],Mo: 10:00-18:00; Tu: 10:00-18:00; We: 10:00-18:00; Th: 10:00-18:00; Fr: 10:00-18:00; Sa: 10:00-18:00,52.5274065,13.3435422
13353,Berlin,Sprengelstr.,13,RETAIL_OUTLET,Tabakwaren Akgül,4306652,[],Mo: 08:00-18:00; Tu: 08:00-18:00; We: 08:00-18:00; Th: 08:00-18:00; Fr: 08:00-18:00; Sa: 08:00-16:00,52.5420088,13.3554323
12043,Berlin,Karl-Marx-Str.,66,POSTBANK_FINANCE_CENTER,Postbank Filiale,4013333,[],Mo: 10:00-19:00; Tu: 10:00-19:00; We: 10:00-19:00; Th: 10:00-13:00; Fr: 10:00-19:00; Sa: 10:00-16:00,52.4821658,13.4329947
13347,Berlin,Reinickendorfer Str.,48a,RETAIL_OUTLET,Mo`s Spätkauf,4327669,[],Mo: 10:00-23:00; Tu: 10:00-23:00; We: 10:00-23:00; Th: 10:00-23:00; Fr: 10:00-23:00; Sa: 10:00-23:00,52.5504624,13.3682927
10559,Berlin,Stephanstr.,41-44,RETAIL_OUTLET,GECO,4102054,[],Mo: 08:30-14:00; Tu: 08:30-14:00; We: 08:30-19:30; Th: 08:30-14:00; Fr: 08:30-14:00; Sa: 08:30-19:30,52.5320797,13.3441194
